cian_id,city,street,lat,lon,price_sq,area,floor,kitchen_area,bathroom_type,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,house_wall_type,lifts,freight_lifts,time_on_foot_to_subway,build_year
295759805,Москва,Бирюлевская улица,55.599672,37.664599,258461.538461538,32.5,3,6.5,Раздельный,,Косметический,False,1,2.7,9,,1,,5,1971
294678896,Москва,15-я Парковая улица,55.808245,37.816603,299734.74801061,37.7,3,10,Раздельный,1,Косметический,,1,2.7,17,,1,1,,2004
294711299,Москва,Кременчугская улица,55.724221,37.465299,349367.088607595,39.5,7,10.7,Раздельный,1,Косметический,False,1,2.7,22,,2,1,5,2007
294712657,Москва,Открытое шоссе,55.82887,37.763737,295774.647887324,28.4,5,0,Раздельный,1,Косметический,False,1,2.7,5,,0,0,7,
294768030,Москва,улица Борисоглебская Слобода,55.49646,36.913545,184684.684684685,33.3,3,8.3,Раздельный,0,Косметический,False,1,2.7,3,,,,21,2017
294817397,Москва,улица Генерала Тюленева,55.616651,37.492742,283987.885196375,33.1,1,7,Раздельный,0,Косметический,False,1,2.7,9,,1,0,6,1972
294821063,Москва,Большая Черкизовская улица,55.796324,37.736644,303921.568627451,30.6,4,5.6,Раздельный,1,Косметический,,1,2.7,5,Блочный,,,15,1966
294831821,Москва,Матвеевская улица,55.704103,37.472755,314024.390243902,32.8,3,6.6,Раздельный,,Косметический,False,1,2.7,9,,1,,4,1967
294832324,Москва,Большой Купавенский проезд,55.777277,37.820529,227272.727272727,33,7,6,Раздельный,,Косметический,False,1,2.7,9,,1,,5,
294875661,Москва,проезд Нансена,55.849236,37.651601,328542.094455852,48.7,15,13,Раздельный,0,Косметический,,1,2.7,17,,1,1,,
294924858,Москва,проспект Вернадского,55.665777,37.496695,364437.689969605,32.9,7,8,Раздельный,,Косметический,False,1,2.7,9,,1,,4,1968
295065848,Москва,Сормовская улица,55.70635,37.811249,303125,32,2,0,Раздельный,1,Косметический,False,1,2.7,5,,0,0,6,1967
295127160,Москва,Волгоградский проспект,55.733462,37.671112,416666.666666667,26.4,8,6.3,Раздельный,,Косметический,False,1,2.7,13,,1,1,4,1968
295154358,Москва,Кавказский бульвар,55.633074,37.666611,344262.295081967,30.5,2,5.6,Раздельный,1,Косметический,False,1,2.7,5,,0,0,4,1966
