,price_sq,lat,lon,area,floor,kitchen_area,balconies,renovation,is_apartment,rooms,ceiling_height,house_floors,lifts,freight_lifts,time_on_foot_to_subway,build_year,bathroom_type,house_wall_type
15400,194265.36979262248,59.8490135469133,30.0813372475963,54.49,2.0,14.0,,Дизайнерский,False,2.0,,4.0,,8.0,15.0,2025.0,,
15401,192360.59829059828,59.8490135469133,30.0813372475963,58.5,4.0,16.6,,Евро,False,2.0,,4.0,,8.0,15.0,2025.0,,
15402,200907.94205794207,59.8490135469133,30.0813372475963,40.04,4.0,16.2,,Евро,False,1.0,,4.0,,8.0,15.0,2025.0,,
15403,507462.6865671642,55.789391,37.536823,134.0,12.0,17.0,,Евро,True,4.0,,13.0,,,2.0,2016.0,,
15404,188750.0,59.8490135469133,30.0813372475963,77.92,2.0,20.5,,Евро,False,3.0,,4.0,,8.0,15.0,2025.0,,
15405,195321.15984584327,59.8490135469133,30.0813372475963,54.49,4.0,14.0,,Евро,False,2.0,,4.0,,8.0,15.0,2025.0,,
15406,184776.1695906433,59.8490135469133,30.0813372475963,41.04,1.0,19.2,,Евро,False,1.0,,4.0,,8.0,15.0,2025.0,,
15407,185001.59711488924,59.8490135469133,30.0813372475963,77.64,1.0,20.1,,Евро,False,3.0,,4.0,,8.0,15.0,2025.0,,
15408,179629.72098665588,59.8490135469133,30.0813372475963,24.73,1.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15409,195927.2573124205,59.8490135469133,30.0813372475963,23.59,4.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15410,191127.9417401303,59.8490135469133,30.0813372475963,26.09,4.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15411,190663.48336594916,59.8490135469133,30.0813372475963,25.55,2.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15412,188829.5251017639,59.8490135469133,30.0813372475963,36.85,1.0,15.7,,Евро,False,1.0,,4.0,,8.0,15.0,2025.0,,
15436,204087.49317312945,59.8490135469133,30.0813372475963,36.62,4.0,15.1,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15437,178144.92753623187,59.8490135469133,30.0813372475963,24.84,1.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15438,185996.83181225552,59.8490135469133,30.0813372475963,76.7,1.0,19.7,,Дизайнерский,False,3.0,,4.0,,8.0,15.0,2025.0,,
15439,204087.49317312945,59.8490135469133,30.0813372475963,36.62,3.0,15.1,,Дизайнерский,False,1.0,,4.0,,8.0,15.0,2025.0,,
15440,193695.32664546123,59.8490135469133,30.0813372475963,40.87,2.0,19.2,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15441,178144.92753623187,59.8490135469133,30.0813372475963,24.84,1.0,0.0,,Без ремонта,False,,,4.0,,8.0,15.0,2025.0,,
15442,200929.4696555495,59.8490135469133,30.0813372475963,36.58,3.0,13.8,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15443,189296.0606989577,59.8490135469133,30.0813372475963,65.24,2.0,19.3,,Без ремонта,False,2.0,,4.0,,8.0,15.0,2025.0,,
15444,202070.80494574812,59.8490135469133,30.0813372475963,39.63,4.0,17.0,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15445,198430.01662971172,59.8490135469133,30.0813372475963,36.08,2.0,14.5,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15446,185621.22448979592,59.8490135469133,30.0813372475963,58.8,1.0,16.6,,Без ремонта,False,2.0,,4.0,,8.0,15.0,2025.0,,
15447,184776.1695906433,59.8490135469133,30.0813372475963,41.04,1.0,19.2,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15448,200929.4696555495,59.8490135469133,30.0813372475963,36.58,4.0,13.8,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15449,193345.13513513515,59.8490135469133,30.0813372475963,55.5,2.0,16.2,,Без ремонта,False,2.0,,4.0,,8.0,15.0,2025.0,,
15450,183117.1441774492,59.8490135469133,30.0813372475963,43.28,1.0,18.6,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15451,189234.1247929321,59.8490135469133,30.0813372475963,54.33,1.0,15.4,,Без ремонта,False,2.0,,4.0,,8.0,15.0,2025.0,,
15452,195906.58591975772,59.8490135469133,30.0813372475963,39.63,2.0,17.0,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15453,192945.40322580645,59.8490135469133,30.0813372475963,24.8,4.0,0.0,,Без ремонта,False,,,4.0,,8.0,15.0,2025.0,,
15454,192945.40322580645,59.8490135469133,30.0813372475963,24.8,3.0,0.0,,Без ремонта,False,,,4.0,,8.0,15.0,2025.0,,
15455,189999.2334227673,59.8490135469133,30.0813372475963,26.09,2.0,0.0,,Без ремонта,False,,,4.0,,8.0,15.0,2025.0,,
15488,413533.8345864661,55.751959,37.686006,26.6,6.0,5.0,0.0,Без ремонта,True,1.0,,10.0,1.0,1.0,7.0,2017.0,,
15489,373333.3333333333,55.589839,37.44409,22.5,8.0,3.5,0.0,Косметический,,,,16.0,1.0,1.0,7.0,2022.0,,
15490,204772.08980044347,59.8490135469133,30.0813372475963,36.08,3.0,14.5,,Косметический,False,1.0,,4.0,,8.0,15.0,2025.0,,
15491,273239.4366197183,55.589559,37.443533,35.5,10.0,10.0,0.0,Без ремонта,,1.0,,16.0,1.0,1.0,7.0,2022.0,,
15492,194913.52267910133,59.8490135469133,30.0813372475963,23.59,2.0,0.0,,Евро,False,,,4.0,,8.0,15.0,2025.0,,
15493,529940.1197604791,55.7598420165386,37.5167124414552,33.4,6.0,12.0,0.0,Евро,,1.0,,32.0,1.0,1.0,4.0,2023.0,,
15494,188189.81989036803,59.8490135469133,30.0813372475963,38.31,1.0,14.0,,Без ремонта,False,1.0,,4.0,,8.0,15.0,2025.0,,
15496,191702.77886497063,59.8490135469133,30.0813372475963,25.55,4.0,0.0,,Без ремонта,False,,,4.0,,8.0,15.0,2025.0,,
15538,145847.4004051317,55.520151,37.212818,74.05,2.0,14.2,0.0,Дизайнерский,,2.0,,4.0,,,23.0,2015.0,,
15540,189417.3781639592,59.8490135469133,30.0813372475963,26.47,3.0,0.0,,Дизайнерский,False,,,4.0,,8.0,15.0,2025.0,,
15542,200907.94205794207,59.8490135469133,30.0813372475963,40.04,4.0,16.2,,Дизайнерский,False,1.0,,4.0,,8.0,15.0,2025.0,,
15543,284210.5263157895,55.653858,37.396353,38.0,17.0,7.7,1.0,Дизайнерский,,1.0,,17.0,1.0,1.0,3.0,2004.0,,
15544,405000.0,55.8104,37.45319,45.0,11.0,0.0,1.0,Дизайнерский,False,2.0,,12.0,1.0,1.0,2.0,1967.0,,
15545,198237.88546255507,55.475169,37.525208,40.86,10.0,0.0,1.0,Дизайнерский,False,2.0,,13.0,1.0,1.0,5.0,2022.0,,
15546,367403.314917127,55.723876,37.777149,36.2,3.0,0.0,0.0,Дизайнерский,False,1.0,,17.0,1.0,1.0,5.0,2020.0,,
15547,232500.0,55.720083,37.903048,40.0,12.0,0.0,1.0,Дизайнерский,False,1.0,,24.0,1.0,1.0,3.0,2006.0,,
15548,308933.0024813896,55.594107,37.458166,40.3,4.0,0.0,1.0,Дизайнерский,False,1.0,,16.0,1.0,1.0,8.0,2018.0,,
